source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
TDN,http://tdn.com/news/slide-pushes-kelso-home-off-foundation/article_d2b8e780-ecfd-5ad1-9e8f-fa19ea3c0109.html,964,01/08/2009 12:00:00 AM,,"Burcham Street, Kelso, Washington",A rain-saturated hillside gave way and knocked a Kelso home eight feet off its foundation Thursday morning. An area roughly 25-feet by 50-feet gave way without warning. Nearby homes were evacuated after the landslide on Burcham Street.,"Burcham Street, Kelso,Washington",5km,mudslide,unknown,small,unknown,0.0,,,,,glc,964.0,United States,US,Washington,11925.0,Kelso,1.87666,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.909,46.1299
Seattle Pi,http://www.seattlepi.com/local/article/Seattle-dodged-bullet-with-landslides-this-time-1296967.php,965,01/08/2009 01:00:00 AM,,"9700 block of Rainier Avenue South, Seatle, Washington ","The Olympic Mountains' ""rain shadow"" appears to have shielded Seattle from the full brunt of the soggy winter storm that has caused landslides and major flooding across much of Western Washington. Some hillsides and trees did collapse due to soil failure after the severe rains and wind pounded the region. One landslide in the city spilled out onto the 9700 block of Rainier Avenue South early Thursday.  About 100 cubic yards of dirt collapsed at about 1 a.m., pulling down two trees, according to the city's Department of Transportation, and traffic had to be diverted at Waters Avenue South and at the Renton Municipal Airport to Renton Avenue South.  In West Seattle, a tree toppled over onto 39th Avenue at Fauntleroy Way Southwest. Crews were dispatched to the location just after 10 a.m.  ","9700 block of Rainier Avenue South, Seatle, Washington ",5km,other,rain,small,unknown,0.0,,,,,glc,965.0,United States,US,Washington,22699.0,Mercer Island,5.27987,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.273,47.538
The Bellingham Herald,http://www.bellinghamherald.com/latestheadlines/story/745810.html,966,01/08/2009 06:00:00 AM,,"Mount Baker Highway at about milepost 16, Washington","Residents of the slide area near Marshall Hill Road were stunned by what they saw at dawn’s first light Thursday, Jan. 8. Rocks and trees, borne on a river of mud, had swept down a small creek from the forested slopes to the north and west. The torrent swept away cars, sheds and utility poles and closed Mount Baker Highway at about milepost 16. The stink of propane from leaking tanks hung in the air. “I just can’t believe this,” area resident Nancy Vaught said as she surveyed the mess. Vaught, spent a few hours at the Red Cross emergency shelter at Nugents Corner after the slide, and returned to the area to take a look once the sun was up. Authorities reported five homes were damaged in the slide but no one was injured. Two people who were trapped in one of the houses because of downed power lines got out safely, Washington State Patrol Trooper Keith Leary said. The slide, which was at least 100 yards across, closed the highway east of Deming. ","Mount Baker Highway at about milepost 16, Washington",5km,mudslide,rain,small,unknown,0.0,,,,,glc,966.0,United States,US,Washington,3324.0,Peaceful Valley,8.1479,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.037,48.929
Bothell-Kenmore Reporter,http://www.bothell-reporter.com/news/mudslide-backs-up-northshore-traffic/,969,01/13/2009 08:50:00 AM,,"SR 522, near Bothell, Washington","Traffic was backed up out of Bothell through Kenmore Tuesday morning from approximately 8:50-9:10 a.m. due to a mudslide, which blocked the right lanes of westbound State Route 522 just east of State Route 104.","SR 522, near Bothell, Washington",1km,mudslide,rain,small,unknown,0.0,,,,,glc,969.0,United States,US,Washington,33505.0,Bothell,0.57422,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2072,47.7573
ABC Channel 7 Eyewitness News,http://abc7.com/archive/6644840/,978,02/06/2009 12:00:00 AM,,Sierra Madre foothills northeast of downtown Los Angeles,"The National Weather Service has issued flash flood watches through Saturday (Feb 6)afternoon for burn areas as well as for valleys, foothills and coastal areas from Ventura to San Diego counties and the Inland Empire. Meteorologists say the second wave of a Pacific storm front could dump an inch of rain or more, with showers, isolated thunderstorms and possible lightning strikes. On Friday, a mudslide inundated streets in the Sierra Madre foothills northeast of downtown Los Angeles, closing some streets for several hours. Another slide left about 3 feet of mud on a road in the San Fernando Valley community of Sylmar.",Sierra Madre foothills northeast of downtown Los Angeles,5km,mudslide,rain,small,unknown,0.0,,,,,glc,978.0,United States,US,California,10917.0,Sierra Madre,0.26489,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-118.05,34.162
Drilling Today,http://dthrotarydrilling.com/News/24-april/VDOT.html,1010,04/20/2009 09:00:00 AM,,"Route 39 in Rockbridge County, Virginia",STAUNTON – The Virginia Department of Transportation is implementing repairs to the slope failure on Route 39 in Rockbridge County. Route 39 is closed from Route 252 to Route 729. The slide took place on April 20 and is located .5 mile west of Route 252. Heavy rain occurred on the morning of April 20 in the area of the slide.,"Route 39 in Rockbridge County, Virginia",1km,mudslide,downpour,small,unknown,0.0,,,,,glc,1010.0,United States,US,Virginia,1463.0,East Lexington,13.41471,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-79.4305,37.9137
Alaska Business,http://www.akbizmag.com/Alaska-Business-Monthly/September-2009/Southeast-Region-Crews-Continue-Battling-Mudslides/,1181,09/20/2009 06:30:00 PM,,"Mile point 5.4 on Mitkof Highway, Petersburg, Alaska","On Sunday, a mudslide came down at mile point 5.4 of the Mitkof Highway. That mudslide littered the highway with trees and other debris. Crews cleared the road after only a few hours. Other report: Police received a call around 6:30pm on Sunday evening concerning a mudslide across an area around the 6.2-mile point of Mitkof Highway. Sokol described the mudslide itself as being approximately seven feet tall and 125 feet wide and suggested it began about 1,000 feet up the hillside. “It went clear across Mitkof Highway to the pullout on the opposite side of the road,” he said. He estimated about a dozen or so trees were taken down in the slide, some of which measured as large as 30 feet in length and four feet in diameter.","Mile point 5.4 on Mitkof Highway, Petersburg, Alaska",10km,mudslide,downpour,medium,unknown,,,,,,glc,1181.0,United States,US,Alaska,2369.0,Wrangell,23.55928,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-132.7269,56.5561
Alaska Business,http://www.akbizmag.com/Alaska-Business-Monthly/September-2009/Southeast-Region-Crews-Continue-Battling-Mudslides/,1187,09/22/2009 02:00:00 AM,,"Mile 4.5, Mitkof Highway, Alaska","An additional slide covered part of the Mitkof Highway after midnight Tuesday at mile point 4.5. Responding crews found a 36 inch cross culvert buried under about three feet of rock and trees, along with almost six inches of water washing over the road.","Mile 4.5, Mitkof Highway, Alaska",5km,mudslide,downpour,medium,unknown,,,,,,glc,1187.0,United States,US,Alaska,2369.0,Wrangell,24.6152,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-132.7348,56.5692
Alaska Business,http://www.akbizmag.com/Alaska-Business-Monthly/September-2009/Southeast-Region-Crews-Continue-Battling-Mudslides/,1188,09/22/2009 05:00:00 AM,,"Mile point 17.5, Mitkof Highway, Alaska","A second slide struck Mitkof Highway at about 5 a.m. Tuesday at mile point 17.5. There, crews came upon a slide covering about a 50-foot section of highway that was three feet deep. The crews cleared the road and reopened one lane to traffic within two hours and both lanes by 9 a.m.","Mile point 17.5, Mitkof Highway, Alaska",5km,mudslide,downpour,medium,unknown,,,,,,glc,1188.0,United States,US,Alaska,2369.0,Wrangell,16.55139,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-132.5617,56.5787
KitsapSun,http://www.kitsapsun.com/news/2009/nov/18/mudslide-destroys-gig-harbor-area-garage/#ixzz0XKFjIQI7,1312,11/18/2009 12:00:00 AM,,"8500 block of 29th Street NW, Gig Harbor, Washington","A detached garage of a home in the 8500 block of 29th Street NW, along with two vehicles, was destroyed in the early morning hours of Monday, Nov. 16.  Fire crews suspect that heavy rains loosened a section of hillside above the home, creating a slide approximately 50 feet by 200 feet in size that lifted a pickup truck onto the roof of the garage. The weight of the truck and mud caused the garage roof to collapse.","8500 block of 29th Street NW, Gig Harbor, Washington",1km,mudslide,downpour,small,unknown,0.0,,,,,glc,1312.0,United States,US,Washington,6651.0,Wollochet,2.74791,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.5562,47.2846
WRCBtv.com,http://www.wrcbtv.com/story/11646330/wednesday-afternoon-update-road-closing-list,1353,12/09/2009 12:00:00 AM,,Creek Road is closed at Signal Mountain Road,"Heavy Rain, Mud Slides, Downed Trees Close Many Schools. Heavy rains and strong winds overnight closed many area schools and roads. The Hamilton County Sheriff's Office was reporting the following road hazards and closures at 5 a.m. W Road is partially closed due to mud slides.  Signal Mountain Road is closed to traffic traveling up or down the mountain due to trees down and mud slides. Roberts Mill Road is closed at Levi due to water on the road. Suck Creek Road is closed at Signal Mountain Road due to water over the road and mud slides on the Marion County side.",Creek Road is closed at Signal Mountain Road,5km,mudslide,downpour,small,unknown,0.0,,,,,glc,1353.0,United States,US,Tennessee,167674.0,Chattanooga,5.97545,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-85.3697,35.0672
WRCBtv.com,http://www.wrcbtv.com/story/11646330/wednesday-afternoon-update-road-closing-list,1354,12/09/2009 12:00:00 AM,,Signal Mountain Road,"Heavy Rain, Mud Slides, Downed Trees Close Many Schools. Heavy rains and strong winds overnight closed many area schools and roads. The Hamilton County Sheriff's Office was reporting the following road hazards and closures at 5 a.m. W Road is partially closed due to mud slides.  Signal Mountain Road is closed to traffic traveling up or down the mountain due to trees down and mud slides. Roberts Mill Road is closed at Levi due to water on the road. Suck Creek Road is closed at Signal Mountain Road due to water over the road and mud slides on the Marion County side.",Signal Mountain Road,5km,mudslide,downpour,small,unknown,0.0,,,,,glc,1354.0,United States,US,Tennessee,7554.0,Signal Mountain,2.05274,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-85.3361,35.1052
Oregon DOT,,8208,02/06/2015 01:18:00 PM,,"OR 42, milepost 42.2",,"OR 42, milepost 42.2",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8208.0,United States,US,Oregon,3742.0,Lafayette,3.64565,07/01/2016 06:10:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.1587,45.2335
WCAX,http://www.wcax.com/story/14568957/massive-mud-slide-hits-franklin-county,3463,05/04/2011 09:00:00 AM,,"on transfer station rd near old landfill(?), Franklin county, VT","And that wasn't the only landslide created by all the rain. Just down the road there's another one-- over 100-feet long and also of great concern because it's only 35 feet away from Highgate's old landfill.  …  Highgate, Vermont - May 4, 2011   -----  The landslide, within a half-mile of the Brousseau Road intersection with Route 207, occurred earlier this month. At the same time, a landslide was found above the Swanton dam on the Missisquoi River that took out power lines and another that endangered the town's buried landfill.  The Brousseau landslide is smaller than the other two, but is a greater safety threat, according to Highgate Town Administrator David Jescavage. ""That one is a top priority, safety wise,"" said Jescavage of the Brousseau Road slide.  …  The landslide along Transfer Station Road near the old landfill may qualify for federal funds, but the town property above the Missisquoi River on Route 207 does not qualify because no infrastructure owned by the town was harme","on transfer station rd near old landfill(?), Franklin county, VT",1km,mudslide,downpour,small,unknown,0.0,,,,,glc,3463.0,United States,US,Vermont,2386.0,Swanton,5.80477,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-73.0562,44.9378
postindependent,http://www.postindependent.com/article/20110808/VALLEYNEWS/110809897/1083&ParentProfile=1074,3865,07/30/2011 12:00:00 AM,,"Catherine Store Road, Garfield County, CO","Several Garfield County roads were so badly damaged during recent torrential rains and floods, the county is having to sidestep its own rules to get them fixed quickly.  County Roads 320 (the Rifle-Rulison Road), 115 (Red Canyon Road) and 100 (Catherine Store Road) in Missouri Heights were closed in late July as a result of mudslides and rockfalls along certain stretches.  Public Works Director Betsy Suerth got permission on Monday from the Garfield Board of County Commissioners (BOCC) to spent an estimated $2 million to fix the roads, and to do so in an “expedited manner” to get the roads open to the public as quickly as possible.  “I believe that the damages have caused unsafe conditions and pose a threat to the safety of the public,” Suerth told the BOCC.  County attorney Andrew Gorgey assured the BOCC that state law does allow for such shortcuts in the case of emergencies.  That means the county's normal procurement system, in particular the advertisement for requests for proposals","Catherine Store Road, Garfield County, CO",10km,mudslide,rain,small,unknown,0.0,,,,,glc,3865.0,United States,US,Colorado,3801.0,El Jebel,4.90954,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-107.1291,39.4274
postindependent,http://www.postindependent.com/article/20110808/VALLEYNEWS/110809897/1083&ParentProfile=1074,3866,07/30/2011 12:00:00 AM,,"Red Canyon Road, Garfield County, CO","Several Garfield County roads were so badly damaged during recent torrential rains and floods, the county is having to sidestep its own rules to get them fixed quickly.  County Roads 320 (the Rifle-Rulison Road), 115 (Red Canyon Road) and 100 (Catherine Store Road) in Missouri Heights were closed in late July as a result of mudslides and rockfalls along certain stretches.  Public Works Director Betsy Suerth got permission on Monday from the Garfield Board of County Commissioners (BOCC) to spent an estimated $2 million to fix the roads, and to do so in an “expedited manner” to get the roads open to the public as quickly as possible.  “I believe that the damages have caused unsafe conditions and pose a threat to the safety of the public,” Suerth told the BOCC.  County attorney Andrew Gorgey assured the BOCC that state law does allow for such shortcuts in the case of emergencies.  That means the county's normal procurement system, in particular the advertisement for requests for proposals","Red Canyon Road, Garfield County, CO",10km,mudslide,rain,small,unknown,0.0,,,,,glc,3866.0,United States,US,Colorado,9614.0,Glenwood Springs,10.57117,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-107.2225,39.4977
Bonners Ferry Herald,http://www.bonnersferryherald.com/news/article_5d9176ce-9558-11e1-8002-0019bb2963f4.html,4346,05/02/2012 12:00:00 AM,,"Myrtle Creek Rd, Bonners Ferry, ID","The Myrtle Creek Road, also known as Forest Road 633, was closed due to mudslides and flood damage.Forest Service employees working in the area west of Bonners Ferry, Idaho earlier this week discovered a significant mudslide and road washout, which has divided the road and scattered logs, boulders and mud throughout several sections of the road. An emergency road closure order has been issued for the entire length of the road.","Myrtle Creek Rd, Bonners Ferry, ID",10km,landslide,downpour,large,unknown,,,,,,glc,4346.0,United States,US,Oregon,2514.0,Myrtle Point,14.54271,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-124.01,42.9744
Oregon DOT,,8002,01/23/2016 02:31:00 PM,,"US 30, milepost 39",,"US 30, milepost 39",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8002.0,United States,US,Oregon,2344.0,Kalama,2.91727,06/30/2016 05:15:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.877,45.9951
Oregon DOT,,7988,02/14/2016 07:53:00 AM,,"OR 180, milepost 16",,"OR 180, milepost 16",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,7988.0,United States,US,Oregon,4584.0,Philomath,17.56982,06/30/2016 04:44:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.5552,44.624
Oregon DOT,,8284,10/25/2014 11:32:00 PM,,"US 20, milepost 23",,"US 20, milepost 23",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8284.0,United States,US,Oregon,3465.0,Toledo,12.85137,07/05/2016 07:02:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.7784,44.6394
Oregon DOT,,8455,08/25/2013 06:08:00 AM,,"OR 19, milepost 20.5",,"OR 19, milepost 20.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8455.0,United States,US,Oregon,682.0,Condon,24.68877,07/06/2016 05:44:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-120.1971,45.4563
The Pine Tree,http://new.thepinetree.net/traffic-fire/traffic-update-rockslide-on-hwy-12/,7548,03/07/2016 12:00:00 AM,,Hwy 12 between Toyon & Central Hill,"CHP is reporting a mud, dirt and rockslide",Hwy 12 between Toyon & Central Hill,5km,landslide,unknown,medium,above_road,0.0,0.0,,,,glc,7548.0,United States,US,California,2783.0,San Andreas,3.6331,03/10/2016 01:50:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-120.7215,38.201
Oregon DOT,,8390,02/12/2014 02:18:00 PM,,"OR 34, milepost 6.5",,"OR 34, milepost 6.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8390.0,United States,US,Oregon,2033.0,Waldport,9.41896,07/06/2016 03:23:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.9539,44.4065
East County Magazine,http://www.eastcountymagazine.org/rockslides,7229,07/19/2015 12:00:00 AM,,Highway 79 at Horizon View Dr,Highway 79 at Horizon View Drive: Rock slides blocking lanes,Highway 79 at Horizon View Dr,1km,landslide,downpour,small,above_road,0.0,0.0,,,,glc,7229.0,United States,US,California,20292.0,Ramona,4.85697,07/20/2015 03:45:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-116.9029,33.0742
wlwt,http://www.wlwt.com/news/27674697/detail.html,3411,04/25/2011 12:00:00 AM,,"Hill st., Mount Adams, Cincinnati, OH",video,"Hill st., Mount Adams, Cincinnati, OH",1km,landslide,downpour,small,unknown,0.0,,,,,glc,3411.0,United States,US,Kentucky,5955.0,Bellevue,1.42927,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-84.4953,39.1075
Oregon DOT,,8836,01/17/2011 09:38:00 AM,,"OR 126, milepost 29",,"OR 126, milepost 29",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8836.0,United States,US,Oregon,1045.0,Lowell,31.32535,07/08/2016 05:49:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.5279,44.1316
Oregon DOT,,8414,12/23/2013 12:41:00 PM,,"OR 22, milepost 29.5",,"OR 22, milepost 29.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8414.0,United States,US,Oregon,1855.0,Mill City,0.94585,07/06/2016 04:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.4891,44.7573
Oregon DOT,,8496,01/09/2013 04:15:00 PM,,"OR 22, milepost 44",,"OR 22, milepost 44",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8496.0,United States,US,Oregon,1855.0,Mill City,19.97966,07/06/2016 07:28:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2336,44.7099
Oregon DOT,,8391,02/12/2014 08:25:00 AM,,"US 20, milepost 20",,"US 20, milepost 20",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8391.0,United States,US,Oregon,2449.0,Siletz,10.14246,07/06/2016 03:23:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8171,44.6677
Oregon DOT,,8736,01/18/2012 12:12:00 PM,,"OR 204, milepost 30",,"OR 204, milepost 30",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8736.0,United States,US,Oregon,1711.0,Elgin,13.75027,07/08/2016 02:29:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-118.0283,45.6611
Oregon DOT,,8376,02/15/2014 06:21:00 PM,,"OR 22, milepost 49.3",,"OR 22, milepost 49.3",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8376.0,United States,US,Oregon,1855.0,Mill City,25.0955,07/06/2016 03:08:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.1622,44.7362
